model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,run_id,time_s,approx_chars,gpu_mem_total_mb,gpu_mem_params_mb,gpu_mem_kvcache_mb,gpu_mem_temp_mb
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,-1,0,3,128,1,2.405388355255127,625,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,-1,0,3,128,2,1.6037204265594482,672,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,-1,0,3,128,3,1.515115737915039,652,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,0,3,128,1,1.7387053966522217,695,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,0,3,128,2,1.515563726425171,640,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,0,3,128,3,1.5105218887329102,674,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,32,3,128,1,1.7572600841522217,637,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,32,3,128,2,1.5000004768371582,645,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,32,3,128,3,1.513028621673584,708,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,64,3,128,1,1.7018439769744873,666,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,64,3,128,2,1.5125658512115479,669,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,64,3,128,3,1.5069847106933594,676,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,128,3,128,1,1.724259614944458,647,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,128,3,128,2,1.5081775188446045,674,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,128,3,128,3,1.5102026462554932,694,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,256,3,128,1,1.7680768966674805,645,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,256,3,128,2,1.5344829559326172,649,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,256,3,128,3,1.5048022270202637,662,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,0,3,128,1,1.7489304542541504,690,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,0,3,128,2,1.5234360694885254,631,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,0,3,128,3,1.513014316558838,644,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,32,3,128,1,1.6993064880371094,699,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,32,3,128,2,1.5187339782714844,677,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,32,3,128,3,1.5086126327514648,667,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,64,3,128,1,1.6818950176239014,633,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,64,3,128,2,1.5306813716888428,660,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,64,3,128,3,1.51824951171875,650,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,128,3,128,1,1.7134430408477783,644,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,128,3,128,2,1.5182445049285889,632,6119.345,4787.266,722.068,610.011
HF://mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,128,3,128,3,1.5167696475982666,651,6119.345,4787.266,722.068,610.011
