model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,run_id,time_s,approx_chars,gpu_mem_total_mb,gpu_mem_params_mb,gpu_mem_kvcache_mb,gpu_mem_temp_mb
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,256,3,128,1,2.7223713397979736,624,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,256,3,128,2,2.7032368183135986,682,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,256,3,128,3,2.671560049057007,698,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,-1,0,3,128,1,2.8268849849700928,647,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,-1,0,3,128,2,2.6855404376983643,668,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,-1,0,3,128,3,2.686718463897705,631,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,0,3,128,1,2.885554790496826,627,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,0,3,128,2,2.6991071701049805,675,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,0,3,128,3,2.6926302909851074,632,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,32,3,128,1,2.8268165588378906,663,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,32,3,128,2,2.681821823120117,683,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,32,3,128,3,2.674842119216919,620,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,64,3,128,1,2.8970446586608887,621,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,64,3,128,2,2.689939498901367,618,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,64,3,128,3,2.698005437850952,629,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,128,3,128,1,2.701040744781494,685,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,128,3,128,2,2.6809263229370117,649,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,128,3,128,3,2.686661958694458,635,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,256,3,128,1,2.908285617828369,651,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,256,3,128,2,2.683401107788086,650,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,256,3,128,3,2.6920204162597656,671,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,0,3,128,1,2.6990044116973877,648,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,0,3,128,2,2.6933882236480713,629,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,0,3,128,3,2.7033114433288574,642,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,32,3,128,1,2.692943811416626,628,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,32,3,128,2,2.692347288131714,651,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,32,3,128,3,2.700716972351074,619,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,64,3,128,1,2.692391872406006,644,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,64,3,128,2,2.698615550994873,631,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,64,3,128,3,2.6789352893829346,627,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,128,3,128,1,2.8835506439208984,653,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,128,3,128,2,2.6936275959014893,680,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,128,3,128,3,2.679950475692749,674,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,256,3,128,1,2.8526811599731445,612,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,256,3,128,2,2.6921885013580322,656,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,256,3,128,3,2.6862401962280273,657,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,4,-1,0,3,128,1,2.7049343585968018,642,16268.957,15316.508,600.521,351.928
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,4,-1,0,3,128,2,2.7157814502716064,676,16268.957,15316.508,600.521,351.928
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,4,-1,0,3,128,3,2.682555675506592,664,16268.957,15316.508,600.521,351.928
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,4,2048,0,3,128,1,2.8996870517730713,669,16268.957,15316.508,600.521,351.928
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,4,2048,0,3,128,2,2.6894712448120117,679,16268.957,15316.508,600.521,351.928
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,4,2048,0,3,128,3,2.689824104309082,628,16268.957,15316.508,600.521,351.928
