model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,run_id,time_s,approx_chars,gpu_mem_total_mb,gpu_mem_params_mb,gpu_mem_kvcache_mb,gpu_mem_temp_mb
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,-1,0,3,128,1,0.9073288440704346,663,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,-1,0,3,128,2,1.4544785022735596,662,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,-1,0,3,128,3,0.5405209064483643,637,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,0,3,128,1,0.7356741428375244,633,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,0,3,128,2,0.5428075790405273,627,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,0,3,128,3,0.532214879989624,674,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,32,3,128,1,0.7320618629455566,631,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,32,3,128,2,0.5305640697479248,661,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,32,3,128,3,0.5285122394561768,654,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,64,3,128,1,0.773317813873291,650,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,64,3,128,2,0.5375523567199707,639,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,64,3,128,3,0.5205175876617432,656,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,128,3,128,1,0.7524421215057373,652,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,128,3,128,2,0.535757303237915,690,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,128,3,128,3,0.5303666591644287,645,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,256,3,128,1,0.6579477787017822,682,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,256,3,128,2,0.5148220062255859,661,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,2048,256,3,128,3,0.5468981266021729,655,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,0,3,128,1,0.7683093547821045,627,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,0,3,128,2,0.5337924957275391,668,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,0,3,128,3,0.5282502174377441,617,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,32,3,128,1,0.7791271209716797,672,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,32,3,128,2,0.5223619937896729,671,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,32,3,128,3,0.5273396968841553,658,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,64,3,128,1,0.7211222648620605,667,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,64,3,128,2,0.5240497589111328,651,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,64,3,128,3,0.5323269367218018,635,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,128,3,128,1,0.6925737857818604,655,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,128,3,128,2,0.5216083526611328,635,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,128,3,128,3,0.5439615249633789,688,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,256,3,128,1,0.7093267440795898,646,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,256,3,128,2,0.5441133975982666,656,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,1,4096,256,3,128,3,0.5292627811431885,603,1163.11,663.035,258.068,242.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,-1,0,3,128,1,0.736163854598999,671,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,-1,0,3,128,2,0.5267014503479004,653,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,-1,0,3,128,3,0.5245370864868164,631,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,0,3,128,1,0.7414333820343018,659,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,0,3,128,2,0.5176746845245361,634,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,0,3,128,3,0.5375378131866455,633,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,32,3,128,1,0.7441697120666504,641,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,32,3,128,2,0.5258584022521973,667,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,32,3,128,3,0.5353217124938965,657,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,64,3,128,1,0.7545487880706787,662,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,64,3,128,2,0.5295383930206299,666,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,64,3,128,3,0.5257103443145752,633,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,128,3,128,1,0.6660020351409912,619,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,128,3,128,2,0.5185215473175049,650,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,128,3,128,3,0.5262665748596191,648,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,256,3,128,1,0.7357132434844971,645,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,256,3,128,2,0.5287737846374512,656,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,2048,256,3,128,3,0.5131521224975586,611,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,0,3,128,1,0.7696483135223389,649,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,0,3,128,2,0.5131843090057373,631,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,0,3,128,3,0.5207304954528809,676,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,32,3,128,1,0.6602151393890381,637,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,32,3,128,2,0.5276570320129395,641,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,32,3,128,3,0.5579400062561035,696,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,64,3,128,1,0.7480385303497314,657,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,64,3,128,2,0.5372250080108643,671,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,64,3,128,3,0.5444498062133789,651,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,128,3,128,1,0.7551100254058838,637,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,128,3,128,2,0.5381717681884766,684,1165.087,663.035,258.068,243.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f16_0-MLC,vulkan:0,4096,1024,2,4096,128,3,128,3,0.5236313343048096,648,1165.087,663.035,258.068,243.984
